name_type,table_name,target_count
nearest_title,下表載列所示年度各業務分部的收入總額。,1
nearest_title,下表載列所示年度各須予報告分部收入及各自佔總收入的百分比:,1
nearest_title,下表載列所示年度我們的產品、許可授權及其他收入明細:,1
nearest_title,下表載列所示年度按所提供服務的類型劃分的收益明細:,1
nearest_title,下表載列所示年度按產品類型劃分的收益明細:,1
nearest_title,下表載列所示年度按經營分部劃分的收益組成部分:,1
nearest_title,下表載列所示期間本集團按產品類別劃分的產品銷售收益明細。,1
nearest_title,下表載列按主要地區市場、主要產品及服務項目以及收入確認時間分拆之收入。下表亦載列分拆收入與本集團可呈報分部間之對賬。,1
nearest_title,下表載列按類別劃分的收入、毛利及毛利率:,1
nearest_title,下表載列於2025年度及2024年度我們提供的各類教育服務的本集團收益明細:,1
nearest_title,下表載列於2025財政年度及2024財政年度按產品劃分的收益分析。,1
nearest_title,下表載列於報告期間按產品類別劃分的收益明細:,1
nearest_title,下表載列於截至2025年及2024年12月31日止年度按業務分部劃分之收益:,1
nearest_title,下表載列於截至2025年及2024年12月31日止年度按產品及服務類別劃分的收入:,1
nearest_title,下表載列於截至二零二五年十二月三十一日及二零二四年十二月三十一日止年度按業務分部劃分並以絕對金額及佔總收入百分比列示的總收入明細:,1
nearest_title,下表載列於所示年度我們按廣告類型及其各自佔我們總收益的百分比劃分的收益明細:,1
nearest_title,下表載列於所示年度按主要產品及服務劃分的收益明細。,1
nearest_title,"下表載列於所示年度按商品或服務類型劃分的收入明細,以實際金額及佔總收入的百分比列示:",1
nearest_title,下表載列於所示年度按業務活動劃分的本集團收益明細:,1
nearest_title,下表載列於所示年度按業務線劃分的收入明細(以絕對金額及佔總收入的百分比列示):,1
nearest_title,下表載列於所示年度按業務線劃分的收益、銷售成本、毛利及毛利率:,1
nearest_title,下表載列於所示年度按產品類型劃分的收入明細:,1
nearest_title,下表載列於所示年度本集團按業務分部劃分之收益明細:,1
nearest_title,下表載列於所示年度本集團按產品類別劃分之收益明細。,1
nearest_title,下表載列於所示期間各業務分部的收入貢獻:,1
nearest_title,"下表載列於所示期間我們按產品類型劃分的收入明細,按絕對金額及佔我們總收入的百分比呈列:",1
nearest_title,下表載列於所示期間我們的收益來源明細:,1
nearest_title,下表載列於所示期間按業務板塊劃分的收入明細:,1
nearest_title,下表載列於所示期間按經營分部劃分的分部收入(以數字及佔總收入的百分比形式呈列)。,1
nearest_title,下表載列於所示期間本集團按業務分部劃分的收入明細:,1
nearest_title,下表載列於所示期間本集團的分部利潤率(以利潤總額除以分部收入計算):,1
nearest_title,下表載列於所示期間本集團的利潤總額(以分部收入減分部經營開支計算):,1
nearest_title,下表載列有關本集團向本集團董事局及高層管理行政人員呈報以進行資源分配及分部表現評估之截至2025年及2024年12月31日止年度的分部資料。,1
nearest_title,下表載列本公司2025年度及2024年度按業務劃分的收入的絕對金額和佔收入的百分比:,1
nearest_title,下表載列本年度及2024財政年度按業務分部劃分的本集團收入明細:,1
nearest_title,下表載列本集團2024財年及2025財年按服務線劃分的收入。,1
nearest_title,下表載列本集團不同業務分部的總收入:,1
nearest_title,"下表載列本集團來自其主要服務的收入之分析,其皆於《國際財務報告準則》第15號「客户合約的收入」範圍內隨時間確認:",1
nearest_title,下表載列本集團報告期內及去年同期按產品類別劃分的收入明細。,1
nearest_title,下表載列本集團截至2025年及2024年12月31日止年度按業務線劃分的收入明細:,1
nearest_title,下表載列本集團截至2026年及2025年3月31日止年度按項目類型劃分的收入明細:,1
nearest_title,下表載列本集團按分類劃分之收益明細:,1
nearest_title,下表載列本集團按所示業務劃分的收益明細:,1
nearest_title,下表載列本集團按業務集團劃分的收入明細:,1
nearest_title,下表載列本集團按產品類型的收入明細:,1
nearest_title,下表載列本集團收入及業績(包括應佔聯營公司及合營公司溢利和虧損)之可報告分部資料:,1
nearest_title,下表載列本集團於2025年及2024年按業務線、地區及銷售渠道劃分的主營業務收入的絕對金額及百分比:,1
nearest_title,下表載列本集團於年內按各業務線劃分的收入。,1
nearest_title,下表載列本集團於往績記錄期內按業務分部劃分的收入明細:,1
nearest_title,下表載列本集團於截至2025年及2024年12月31日止年度的收益明細:,1
